idsubproduto,nome_produto,descrsecao,descrgrupo,descrsubgrupo,descricao_produto,especificacao_tecnica,pagina_web,manual,fotos
123134012,"TELA SOLDADA Q166 2,45 X 6,00 10 X 10 4.6 MM",GERAL,GERAL,INATIVO,"Tela soldada Q166 com dimensões 2,45 x 6,00 metros, grade 10 x 10, diâmetro do fio 4.6 mm.","Dimensões: 2,45 x 6,00 metros, Grade: 10 x 10, Diâmetro do fio: 4.6 mm",Não encontrado,Não encontrado,
6054,"TRINCO CHATO 2"" INCA",GERAL,GERAL,INATIVO,Trinco chato de 2 polegadas da marca Inca.,Não encontrado,Não encontrado,Não encontrado,
3126,"TUBO GALVANIZADO S/ ROSCA 3/4 X 20 (19,05 EXT)",GERAL,GERAL,INATIVO,"Tubo galvanizado sem rosca com diâmetro de 3/4 polegadas e comprimento de 20 polegadas (19,05 mm).","Diâmetro: 3/4 polegadas, Comprimento: 20 polegadas (19,05 mm)",Não encontrado,Não encontrado,
123133967,"TUBO METALON 150 X 150 X 4,75",GERAL,GERAL,INATIVO,"Tubo Metalon com dimensões 150 x 150 x 4,75.","Dimensões: 150 x 150 x 4,75",Não encontrado,Não encontrado,
303,VASSOURA JARDIM PLASTICA 22DT PR C CABO,GERAL,GERAL,INATIVO,"Vassoura de jardim feita de plástico, com cabo de 22DT, ideal para limpeza de áreas externas.","Cabo de 22DT, material plástico.",Não encontrado,Não encontrado,
3172,AL FLOREIRA TRIPE *,GERAL,GERAL,P.E.,Não encontrado,Não encontrado,Não encontrado,Não encontrado,
123133761,CHAPA GALVANIZADA VARIAS MEDIDAS *,GERAL,GERAL,P.E.,Chapa galvanizada disponível em várias medidas.,Não encontrado,Não encontrado,Não encontrado,
123133656,CHAPA P/ LANTERNAGEM 18 = 2 MT X 30 CM *,GERAL,GERAL,P.E.,Chapa para lanternagem com dimensões de 2 metros de comprimento por 30 centímetros de largura.,Dimensões: 2m x 30cm,Não encontrado,Não encontrado,
123133943,CHAPA P/ LANTERNAGEM 20 = 2 MT X 30 CM *,GERAL,GERAL,P.E.,Chapa para lanternagem com dimensões de 2 metros de comprimento por 30 centímetros de largura.,"Comprimento: 2 metros, Largura: 30 centímetros",Não encontrado,Não encontrado,
123133533,FF COLUNA 110 CM *,GERAL,GERAL,P.E.,Coluna de áudio com altura de 110 cm.,Altura: 110 cm,Não encontrado,Não encontrado,
123133532,FF COLUNA 112 CM *,GERAL,GERAL,P.E.,Coluna de áudio com altura de 112 cm.,Altura: 112 cm,Não encontrado,Não encontrado,
123133534,"FF COLUNA C/ SAPATA 91,5 CM *",GERAL,GERAL,P.E.,"Coluna de 91,5 cm com sapata, modelo FF.","Altura: 91,5 cm, Inclui sapata.",Não encontrado,Não encontrado,
123133535,FF COLUNA CURVA 108 CM *,GERAL,GERAL,P.E.,"Coluna curva de 108 cm, modelo FF.",Não encontrado,Não encontrado,Não encontrado,
4874,FF FLORAO N.00 *,GERAL,GERAL,P.E.,Não encontrado,Não encontrado,Não encontrado,Não encontrado,
1138,FF FLORAO N.01 PEQUENO 36 X 15 CM *,GERAL,GERAL,P.E.,"FF FLORAO N.01 PEQUENO, um produto de decoração floral com dimensões de 36 x 15 cm.",Dimensões: 36 x 15 cm,Não encontrado,Não encontrado,
1349,FF FLORAO N.02 MEDIO 42 X 15 CM *,GERAL,GERAL,P.E.,FF FLORAO N.02 MEDIO 42 X 15 CM. Produto não encontrado na web.,Dimensões: 42 x 15 cm,Não encontrado,Não encontrado,
1350,FF FLORAO N.03 GRANDE 58 X 34 CM *,GERAL,GERAL,P.E.,FF FLORAO N.03 GRANDE 58 X 34 CM. Um grande quadro decorativo com dimensões de 58 x 34 cm.,Dimensões: 58 x 34 cm,Não encontrado,Não encontrado,
3399,FF FLORAO N.05 DIADEMA *,GERAL,GERAL,P.E.,"Diadema FF Florão N.05, um acessório de cabelo elegante e sofisticado.",Material: Não especificado. Cor: Não especificada. Tamanho: Não especificado.,Não encontrado,Não encontrado,
123133553,FF GRADE ABACAXI 81 X 14 CM *,GERAL,GERAL,P.E.,"FF GRADE ABACAXI 81 X 14 CM. Uma grade de aço inoxidável para churrasco, com design de abacaxi.",Dimensões: 81 x 14 cm,Não encontrado,Não encontrado,
123133775,FF GRADE ARABESCO GRANDE 137 X 54 CM *,GERAL,GERAL,P.E.,FF GRADE ARABESCO GRANDE com dimensões de 137 x 54 cm.,Dimensões: 137 x 54 cm,Não encontrado,Não encontrado,
123133805,FF GRADE ARABESCO PEQUENA 80 X 17 CM *,GERAL,GERAL,P.E.,FF GRADE ARABESCO PEQUENA 80 X 17 CM. Uma grade decorativa com design de arabesco em tamanho pequeno.,Dimensões: 80 x 17 cm,Não encontrado,Não encontrado,
123133757,FF GRADE ARPA 84 X 26 CM *,GERAL,GERAL,P.E.,FF GRADE ARPA 84 X 26 CM. Uma grade de ar condicionado de dimensões 84 cm de largura por 26 cm de altura.,Dimensões: 84 cm x 26 cm,Não encontrado,Não encontrado,
