idsubproduto,nome_produto,descrsecao,descrgrupo,descrsubgrupo,descricao_produto,especificacao_tecnica,pagina_web,manual,fotos
5579,"PERFIL U ENRIJ 100 X 50 X 17 X 3,00MM #",SERRALHERIA,PERFIL,PERFIL U,"Perfil U de aço com dimensões 100 x 50 x 17 x 3,00mm, utilizado para reforço estrutural.","Dimensões: 100 x 50 x 17 x 3,00mm",Não encontrado,Não encontrado,
11867,"PERFIL U ENRIJ 100 X 50 X 17 X 3,00MM # EMP2",SERRALHERIA,PERFIL,PERFIL U,"Perfil U de aço com dimensões 100 x 50 x 17 x 3,00mm, utilizado para reforço estrutural.","Dimensões: 100 x 50 x 17 x 3,00mm",Não encontrado,Não encontrado,
5582,"PERFIL U ENRIJ 127 X 50 X 17 X 2,00 MM #",SERRALHERIA,PERFIL,PERFIL U,"Perfil U enrijecedor com dimensões 127 x 50 x 17 x 2,00 mm.","Dimensões: 127 x 50 x 17 x 2,00 mm",Não encontrado,Não encontrado,
11627,"PERFIL U ENRIJ 127 X 50 X 17 X 2,00 MM EMP2",SERRALHERIA,PERFIL,PERFIL U,"Perfil U de enrijecedor com dimensões 127 x 50 x 17 x 2,00 mm.","Dimensões: 127 x 50 x 17 x 2,00 mm",Não encontrado,Não encontrado,
123133720,"PERFIL U ENRIJ 127 X 50 X 17 X 2,65 MM #",SERRALHERIA,PERFIL,PERFIL U,"Perfil U de aço enrijecido com dimensões 127 x 50 x 17 x 2,65 mm.","Dimensões: 127 x 50 x 17 x 2,65 mm",Não encontrado,Não encontrado,
11361,"PERFIL U ENRIJ 127 X 50 X 17 X 2,65MM  EMP2",SERRALHERIA,PERFIL,PERFIL U,"Perfil U de aço com dimensões 127 x 50 x 17 x 2,65mm, utilizado para enrijecer estruturas metálicas.","127mm de largura, 50mm de altura, 17mm de espessura da base, 2,65mm de espessura do aço.",Não encontrado,Não encontrado,
11829,"PERFIL U ENRIJ 127 X 50 X 17 X 4,75 MM EMP2",SERRALHERIA,PERFIL,PERFIL U,"Perfil U de aço para enrijecer estruturas, com dimensões 127 x 50 x 17 x 4,75 mm.","Dimensões: 127 x 50 x 17 x 4,75 mm",Não encontrado,Não encontrado,
10206,"PERFIL U ENRIJ 150 X 60 X 20 X 2,00MM",SERRALHERIA,PERFIL,PERFIL U,"Perfil U de aço com dimensões 150 x 60 x 20 x 2,00mm, utilizado para estruturas metálicas e obras de construção.","Dimensões: 150 x 60 x 20 x 2,00mm",Não encontrado,Não encontrado,
123133721,PERFIL U ENRIJ 150 X 60 X 20 X 2.65MM,SERRALHERIA,PERFIL,PERFIL U,"Perfil U de aço para enrijecer estruturas, com dimensões de 150 x 60 x 20 mm e espessura de 2.65 mm.","Dimensões: 150 x 60 x 20 mm, Espessura: 2.65 mm",Não encontrado,Não encontrado,
11939,PERFIL U ENRIJ 150 X 60 X 20 X 3.00MM,SERRALHERIA,PERFIL,PERFIL U,"Perfil U de aço com dimensões 150 x 60 x 20 x 3.00mm, utilizado para reforço estrutural.",Dimensões: 150 x 60 x 20 x 3.00mm,Não encontrado,Não encontrado,
123133723,PERFIL U ENRIJ 200 X 75 X 20 X 2.65MM,SERRALHERIA,PERFIL,PERFIL U,"Perfil U de aço com dimensões 200 x 75 x 20 x 2.65mm, utilizado para enrijecer estruturas metálicas.","Dimensões: 200 x 75 x 20 x 2.65mm, Material: Aço",Não encontrado,Não encontrado,
11923,PERFIL U ENRIJ 250 X 2.65MM EMP2,SERRALHERIA,PERFIL,PERFIL U,Perfil U enrijecedor de 250mm de comprimento e 2.65mm de espessura.,"Comprimento: 250mm, Espessura: 2.65mm",Não encontrado,Não encontrado,
11929,PERFIL U ENRIJ 250 X 75 X 25 X 2.65 6M,SERRALHERIA,PERFIL,PERFIL U,"Perfil U enrijecido com dimensões 250 x 75 x 25 x 2.65, comprimento de 6 metros.","Dimensões: 250 x 75 x 25 x 2.65, Comprimento: 6 metros",Não encontrado,Não encontrado,
11925,PERFIL U ENRIJ 250 X 75 X 25 X 3/16 6M,SERRALHERIA,PERFIL,PERFIL U,"Perfil U de aço enrijecido com dimensões 250 x 75 x 25 x 3/16, comprimento de 6 metros.",Dimensões: 250 x 75 x 25 x 3/16; Comprimento: 6 metros,Não encontrado,Não encontrado,
11933,"PERFIL U ENRIJ 250 X 85 X 25 X 3,00MM 6M",SERRALHERIA,PERFIL,PERFIL U,"Perfil U de aço com dimensões 250 x 85 x 25 x 3,00mm e comprimento de 6 metros.","Dimensões: 250 x 85 x 25 x 3,00mm, Comprimento: 6 metros",Não encontrado,Não encontrado,
11081,"PERFIL U ENRIJ 50 X 25 X 10 X 2,00MM EMP2",SERRALHERIA,PERFIL,PERFIL U,"Perfil U de aço com dimensões 50 x 25 x 10 x 2,00mm.","50mm de largura, 25mm de altura, 10mm de espessura da base, 2,00mm de espessura do material.",Não encontrado,Não encontrado,
123133851,"PERFIL U ENRIJ 50 X 25 X 10 X 2,00MM#",SERRALHERIA,PERFIL,PERFIL U,"Perfil U de aço enrijecido com dimensões 50 x 25 x 10 x 2,00mm.","Dimensões: 50 x 25 x 10 x 2,00mm",Não encontrado,Não encontrado,
11833,"PERFIL U ENRIJ 50 X 25 X 10 X 2,65MM#",SERRALHERIA,PERFIL,PERFIL U,"Perfil U enrijecedor de 50 x 25 x 10 x 2,65mm.","Dimensões: 50 x 25 x 10 x 2,65mm.",Não encontrado,Não encontrado,
5583,"PERFIL U ENRIJ 75 X 40 X 15 X 2,00 MM #",SERRALHERIA,PERFIL,PERFIL U,"Perfil U de aço enrijecido com dimensões 75 x 40 x 15 x 2,00 mm.","Dimensões: 75 x 40 x 15 x 2,00 mm",Não encontrado,Não encontrado,
11359,"PERFIL U ENRIJ 75 X 40 X 15 X 2,00MM  EMP2",SERRALHERIA,PERFIL,PERFIL U,"Perfil U de aço enrijecido com dimensões 75 x 40 x 15 x 2,00mm.","75mm de largura, 40mm de altura, 15mm de espessura da base, 2,00mm de espessura do material.",Não encontrado,Não encontrado,
123133733,"PERFIL U ENRIJ 75 X 40 X 15 X 2,65 MM #",SERRALHERIA,PERFIL,PERFIL U,"Perfil U de enrijecedor com dimensões 75 x 40 x 15 x 2,65 mm.","Dimensões: 75 x 40 x 15 x 2,65 mm",Não encontrado,Não encontrado,
11633,"PERFIL U ENRIJ 75 X 40 X 15 X 2,65 MM EMP2",SERRALHERIA,PERFIL,PERFIL U,"Perfil U de enrijecimento com dimensões 75 x 40 x 15 x 2,65 mm.","Dimensões: 75 x 40 x 15 x 2,65 mm",Não encontrado,Não encontrado,
123133719,PERFIL U SIMPLES 1/2X1/2X16,SERRALHERIA,PERFIL,PERFIL U,"Perfil U simples com dimensões 1/2x1/2x16, utilizado em construções e montagens metálicas.",Dimensões: 1/2x1/2x16,Não encontrado,Não encontrado,
11457,PERFIL U SIMPLES 150 X 50 X 3/16 EMP2,SERRALHERIA,PERFIL,PERFIL U,Perfil U simples de aço com dimensões 150mm x 50mm x 3/16mm.,Dimensões: 150mm x 50mm x 3/16mm,Não encontrado,Não encontrado,
123133815,"PERFIL U SIMPLES 2 X 2,0 MM ( ABA 25 ) #",SERRALHERIA,PERFIL,PERFIL U,"Perfil U simples com dimensões 2 x 2,0 mm e aba de 25 mm.","Dimensões: 2 x 2,0 mm, ABA: 25 mm",Não encontrado,Não encontrado,
10650,"PERFIL U SIMPLES 2 X 2,0 MM ( ABA 25 ) EMP2",SERRALHERIA,PERFIL,PERFIL U,"Perfil U simples de 2 x 2,0 mm com aba de 25 mm, utilizado em construções metálicas.","Dimensões: 2 x 2,0 mm, Aba: 25 mm",Não encontrado,Não encontrado,
123133722,"PERFIL U SIMPLES 2 X 2,65 MM (ABA 25 ) #",SERRALHERIA,PERFIL,PERFIL U,"Perfil U simples com dimensões de 2 x 2,65 mm e aba de 25 mm.","Dimensões: 2 x 2,65 mm, Aba: 25 mm",Não encontrado,Não encontrado,
11629,"PERFIL U SIMPLES 2 X 2,65 MM (ABA 25 ) EMP2",SERRALHERIA,PERFIL,PERFIL U,"Perfil U simples com dimensões 2 x 2,65 mm e aba de 25 mm, modelo EMP2.","Dimensões: 2 x 2,65 mm, Aba: 25 mm",Não encontrado,Não encontrado,
123133704,PERFIL U SIMPLES 25 X 25 X 16,SERRALHERIA,PERFIL,PERFIL U,Perfil U simples de aço com dimensões 25x25x16mm.,Dimensões: 25x25x16mm,Não encontrado,Não encontrado,
123134084,PERFIL U SIMPLES 25X25X18,SERRALHERIA,PERFIL,PERFIL U,Perfil U simples de aço com dimensões 25x25x18.,Dimensões: 25x25x18.,Não encontrado,Não encontrado,
123133724,PERFIL U SIMPLES 28 X 28 X 16,SERRALHERIA,PERFIL,PERFIL U,Perfil U simples com dimensões 28 x 28 x 16.,Dimensões: 28 x 28 x 16.,Não encontrado,Não encontrado,
123133827,"PERFIL U SIMPLES 3 X 2,0 MM ( ABA 40 ) #",SERRALHERIA,PERFIL,PERFIL U,Perfil U simples com espessura de 3 mm e aba de 40 mm.,"Espessura: 3 mm, Largura da aba: 40 mm",Não encontrado,Não encontrado,
11083,"PERFIL U SIMPLES 3 X 2,0 MM ( ABA 40 ) EMP2",SERRALHERIA,PERFIL,PERFIL U,"Perfil U simples de 3 x 2,0 mm com aba de 40 mm, utilizado em diversas aplicações de construção e montagem.","Tipo: Perfil U simples; Dimensões: 3 x 2,0 mm; Aba: 40 mm",Não encontrado,Não encontrado,
123133725,"PERFIL U SIMPLES 3 X 2,65 MM ( ABA 40 ) #",SERRALHERIA,PERFIL,PERFIL U,"Perfil U simples com dimensões de 3 mm de espessura e 2,65 mm de altura, com aba de 40 mm.","Espessura: 3 mm, Altura: 2,65 mm, Abar: 40 mm",Não encontrado,Não encontrado,
11469,"PERFIL U SIMPLES 3 X 2,65 MM ( ABA 40 ) EMP2",SERRALHERIA,PERFIL,PERFIL U,"Perfil U simples de 3 x 2,65 mm com aba de 40 mm, utilizado em aplicações de construção e montagem.","Dimensões: 3 x 2,65 mm, Aba: 40 mm",Não encontrado,Não encontrado,
123133803,PERFIL U SIMPLES 3 X 3/16 ( ABA 40 ) #,SERRALHERIA,PERFIL,PERFIL U,"Perfil U simples com dimensões 3 polegadas de largura e 3/16 polegadas de espessura, com aba de 40 mm.","Largura: 3 polegadas, Espessura: 3/16 polegadas, ABA: 40 mm",Não encontrado,Não encontrado,
6158,PERFIL U SIMPLES 3 X 3MM,SERRALHERIA,PERFIL,PERFIL U,"Perfil U simples de 3x3mm, utilizado em diversas aplicações de construção e montagem.","Dimensões: 3x3mm, formato U",Não encontrado,Não encontrado,
123133726,PERFIL U SIMPLES 3/4X3/8X16,SERRALHERIA,PERFIL,PERFIL U,"Perfil U simples com dimensões 3/4x3/8x16, utilizado em diversas aplicações de construção e montagem.",Dimensões: 3/4x3/8x16,Não encontrado,Não encontrado,
123133763,PERFIL U SIMPLES 3/8 X 3/8 X 16 *,SERRALHERIA,PERFIL,PERFIL U,"Perfil U simples com dimensões 3/8 x 3/8 x 16, utilizado em diversas aplicações de construção e montagem.",Dimensões: 3/8 x 3/8 x 16,Não encontrado,Não encontrado,
123133897,"PERFIL U SIMPLES 4 X 2,00 MM ( ABA 40 ) #",SERRALHERIA,PERFIL,PERFIL U,"Perfil U simples de 4 mm de espessura e 2,00 mm de largura, com aba de 40 mm.","Espessura: 4 mm, Largura: 2,00 mm, Abar: 40 mm",Não encontrado,Não encontrado,
11085,"PERFIL U SIMPLES 4 X 2,00 MM ( ABA 40 ) EMP2",SERRALHERIA,PERFIL,PERFIL U,"Perfil U simples de 4 mm de espessura e 2,00 mm de largura, com aba de 40 mm. Utilizado em diversas aplicações construtivas.","Espessura: 4 mm, Largura: 2,00 mm, ABA: 40 mm",Não encontrado,Não encontrado,
