idsubproduto,nome_produto,descrsecao,descrgrupo,descrsubgrupo,descricao_produto,especificacao_tecnica,pagina_web,manual,fotos
3216,FITA ADESIVA ALUM. 30CM X 10M BRASILIT (MANTA),ACESSORIO/MIUDEZA,QUIMICOS,COLA / ADESIVO,"Fita adesiva de alumínio com 30cm de largura e 10m de comprimento, marca Brasilit, utilizada para vedação e isolamento.","Largura: 30cm, Comprimento: 10m, Material: Alumínio",Não encontrado,Não encontrado,
12007,FITA ADESIVA ALUM. 30CM X 10M VIAFLEX (MANTA),ACESSORIO/MIUDEZA,QUIMICOS,COLA / ADESIVO,"Fita adesiva de alumínio com 30cm de largura e 10m de comprimento, marca Viaflex, utilizada para vedação e isolamento.","Largura: 30cm, Comprimento: 10m, Material: Alumínio",Não encontrado,Não encontrado,
12027,FITA ADESIVA ALUM. 45CM X 10M DRYKO (MANTA),ACESSORIO/MIUDEZA,QUIMICOS,COLA / ADESIVO,"Fita adesiva de alumínio com 45cm de largura e 10m de comprimento, marca Dryko, utilizada para vedação e isolamento.","Largura: 45cm, Comprimento: 10m, Material: Alumínio",Não encontrado,Não encontrado,
3217,FITA ADESIVA ALUM. 50CM X 10M KIMANTA *,ACESSORIO/MIUDEZA,QUIMICOS,COLA / ADESIVO,"Fita adesiva de alumínio com 50cm de largura e 10m de comprimento, marca Kimanta.","Largura: 50cm, Comprimento: 10m, Material: Alumínio",Não encontrado,Não encontrado,
12057,FITA ADESIVA ALUM. 50CM X 10M SIKA (MANTA),ACESSORIO/MIUDEZA,QUIMICOS,COLA / ADESIVO,"Fita adesiva de alumínio com 50cm de largura e 10m de comprimento, marca Sika, utilizada como manta.","Largura: 50cm, Comprimento: 10m, Material: Alumínio",Não encontrado,Não encontrado,
123123316,FITA ADESIVA ALUM. 5CM X 10M KIMANTA,ACESSORIO/MIUDEZA,QUIMICOS,COLA / ADESIVO,"Fita adesiva de alumínio com 5cm de largura e 10m de comprimento, marca Kimanta.","Largura: 5cm, Comprimento: 10m, Material: Alumínio",Não encontrado,Não encontrado,
3699,FITA ADESIVA DESMARCACAO DE SOLO 50MM X 15M ADERE,ACESSORIO/MIUDEZA,QUIMICOS,COLA / ADESIVO,"Fita adesiva para demarcação de solo, com largura de 50mm e comprimento de 15m.","Largura: 50mm, Comprimento: 15m",Não encontrado,Não encontrado,
2235,FITA CREPE 18 MM X 50 MT *,ACESSORIO/MIUDEZA,QUIMICOS,COLA / ADESIVO,Fita crepe de 18 mm de largura e 50 metros de comprimento.,"Largura: 18 mm, Comprimento: 50 m",Não encontrado,Não encontrado,
3736,FITA CREPE 48 MM X 50 MT,ACESSORIO/MIUDEZA,QUIMICOS,COLA / ADESIVO,Fita crepe de 48 mm de largura e 50 metros de comprimento.,"Largura: 48 mm, Comprimento: 50 m",Não encontrado,Não encontrado,
565,FITA ISOLANTE 18 MM (10 METROS) *,ACESSORIO/MIUDEZA,QUIMICOS,COLA / ADESIVO,"Fita isolante de 18 mm de largura, com 10 metros de comprimento.","Largura: 18 mm, Comprimento: 10 metros",Não encontrado,Não encontrado,
